"('Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Lower than IQR',)","(('Noise Lower than IQR',), 1.0)"
"('Nonmajor Within Higher IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Misd Lower than IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Higher than IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Nonmajor Lower than IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Loud Music/Party', 'Noise - Residential', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'Noise - Residential', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Population Lower than IQR', 'Residential Building/House')","(('Noise Lower than IQR',), 1.0)"
"('Misd Lower than IQR', 'Poverty Level Higher than Median')","(('Noise Lower than IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Population Lower than IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 1.0)"
"('Noise - Residential', 'Population Lower than IQR')","(('Noise Lower than IQR',), 1.0)"
"('Poverty Level Higher than Median', 'VC Higher than IQR')","(('Noise Lower than IQR',), 0.9174967518406236)"
"('Misd Lower than IQR', 'Noise - Residential', 'Residential Building/House')","(('Noise Lower than IQR',), 0.8717988967125623)"
"('Loud Music/Party', 'Misd Lower than IQR')","(('Noise Lower than IQR',), 0.8521803610643699)"
"('Noise - Residential', 'Residential Building/House', 'VC Higher than IQR')","(('Noise Lower than IQR',), 0.8505900584098224)"
"('Major Higher than IQR', 'Noise - Residential', 'Residential Building/House')","(('Noise Lower than IQR',), 0.8410304266678241)"
"('Misd Lower than IQR', 'Noise - Residential', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise Lower than IQR',), 0.8350452997864851)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR')","(('Noise Lower than IQR',), 0.8310738839934153)"
"('Loud Music/Party', 'VC Higher than IQR')","(('Noise Lower than IQR',), 0.8207127235301686)"
"('Major Higher than IQR', 'Misd Within Higher IQR', 'Nonmajor Within Higher IQR')","(('Noise Lower than IQR',), 0.8139868398852708)"
"('Major Higher than IQR', 'VC Higher than IQR')","(('Noise Lower than IQR',), 0.8102512230869269)"
"('Major Higher than IQR', 'Nonmajor Within Higher IQR', 'Poverty Level Higher than Median')","(('Noise Lower than IQR',), 0.8080799596841929)"
"('Poverty Level Higher than Median', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 0.7906285659946748)"
"('Major Higher than IQR', 'Nonmajor Within Higher IQR')","(('Noise Lower than IQR',), 0.7892713777171855)"
"('Noise', 'nan')","(('Noise Lower than IQR',), 0.7853101532764118)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 0.7844900574357566)"
"('Noise - Residential', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise Lower than IQR',), 0.7761422053388938)"
"('Noise - Residential', 'Poverty Level Higher than Median')","(('Noise Lower than IQR',), 0.7710866761879671)"
"('Noise - Residential', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 0.7709639307804573)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 0.7689344684609534)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median')","(('Noise Lower than IQR',), 0.7681826225446824)"
"('Loud Music/Party', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 0.7680197044334975)"
"('Loud Music/Party', 'Noise - Residential', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise Lower than IQR',), 0.7680197044334975)"
"('Population Within Lower IQR', 'VC Higher than IQR')","(('Noise Lower than IQR',), 0.7619070667957406)"
"('Misd Within Higher IQR', 'Nonmajor Within Higher IQR')","(('Noise Lower than IQR',), 0.7319146370870508)"
"('2015', 'Noise - Residential')","(('Noise Lower than IQR',), 0.7208986694457236)"
"('2015', 'Noise - Residential', 'Residential Building/House')","(('Noise Lower than IQR',), 0.720891904992729)"
"('2013',)","(('Noise Lower than IQR',), 0.7098981540420115)"
"('Loud Music/Party', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise Lower than IQR',), 0.7082961172700047)"
"('2012',)","(('Noise Lower than IQR',), 0.7070205603855375)"
"('Noise - Residential', 'Residential Building/House')","(('Noise Lower than IQR',), 0.7065161095712651)"
"('Residential Building/House',)","(('Noise Lower than IQR',), 0.7065161095712651)"
"('NGHBR: Southwest Queens', 'Residential Building/House')","(('Noise - Residential', 'VC Within Higher IQR'), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Nonmajor Within Lower IQR')","(('Noise - Residential', 'Residential Building/House'), 0.8372205007955783)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Poverty Level Lower than Median')","(('Noise - Residential', 'Residential Building/House'), 0.8158423543138653)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Noise - Residential', 'Residential Building/House'), 0.8068958526413346)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median')","(('Noise - Residential', 'Residential Building/House'), 0.7828670085817295)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential', 'Population Lower than IQR'), 0.8796978515262213)"
"('Misd Lower than IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential', 'Nonmajor Lower than IQR'), 0.7444247241299483)"
"('NGHBR: West Queens', 'Residential Building/House')","(('Noise - Residential', 'Noise Within Lower IQR'), 0.7879020857617619)"
"('Misd Within Lower IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential', 'Noise Lower than IQR'), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential', 'Noise Lower than IQR'), 1.0)"
"('Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential', 'Noise Lower than IQR'), 1.0)"
"('Loud Music/Party', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential', 'Noise Lower than IQR'), 1.0)"
"('Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential', 'Noise Lower than IQR'), 0.8505900584098224)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential', 'Noise Lower than IQR'), 0.8350452997864851)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('NGHBR: West Queens', 'Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('NGHBR: Southwest Queens', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Major Higher than IQR', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('2015', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Lower than IQR', 'Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Population Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('2015', 'Loud Music/Party', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Within Lower IQR', 'Population Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('2015', 'Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Population Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Higher than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('2014', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'VC Within Lower IQR')","(('Noise - Residential',), 0.8281488757913119)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Lower than Median')","(('Noise - Residential',), 0.8058094446752527)"
"('Loud Music/Party', 'Noise Lower than IQR')","(('Noise - Residential',), 0.7970712270869602)"
"('Loud Music/Party', 'NGHBR: West Queens')","(('Noise - Residential',), 0.7906957297357565)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.786904066547161)"
"('2015', 'Loud Music/Party')","(('Noise - Residential',), 0.7627382968997876)"
"('nan',)","(('Noise', 'Noise Lower than IQR'), 0.7717932516112725)"
"('Noise Lower than IQR', 'nan')","(('Noise',), 0.9842385173247381)"
"('Noise Within Lower IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens', 'Population Higher than IQR'), 1.0)"
"('Population Higher than IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens', 'Noise Within Lower IQR'), 1.0)"
"('Noise Within Lower IQR', 'Population Higher than IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR')","(('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR'), 0.7460656808599085)"
"('102', 'Misd Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Nonmajor Within Lower IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9979875546140606)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9820501801593335)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9285386932041377)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.8775291624950523)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('NGHBR: Southwest Queens',), 0.8454049931585205)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.8028298419698641)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.7515429697629791)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.7451852204099101)"
"('114', 'VC Higher than IQR')","(('NGHBR: Northwest Queens',), 0.9999012638230648)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential')","(('Misd Within Lower IQR', 'Residential Building/House'), 0.8786630320302335)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens')","(('Misd Within Lower IQR', 'Nonmajor Within Lower IQR'), 0.8164507603656688)"
"('NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Misd Within Lower IQR', 'Nonmajor Within Lower IQR'), 0.8164507603656688)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Residential Building/House')","(('Misd Within Lower IQR', 'Noise - Residential'), 0.880162596580507)"
"('102', 'Major Within Higher IQR')","(('Misd Within Lower IQR', 'NGHBR: Southwest Queens'), 1.0)"
"('102', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9584954604409858)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9584954604409858)"
"('NGHBR: Southwest Queens', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9290718038528897)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9290718038528897)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House')","(('Misd Within Lower IQR',), 0.880162596580507)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.880162596580507)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.8529555845852385)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.8529555845852385)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.7652825175786171)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.7201705739013529)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR', 'Residential Building/House'), 0.9515683566778458)"
"('Major Within Lower IQR', 'VC Within Lower IQR')","(('Misd Lower than IQR', 'Nonmajor Lower than IQR'), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR', 'Noise Lower than IQR'), 0.7803753437955023)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR', 'Noise - Residential'), 0.9552115651198099)"
"('Major Lower than IQR', 'Noise Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Misd Lower than IQR',), 1.0)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR',), 0.9552115651198099)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.9472783797207557)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Population Lower than IQR')","(('Misd Lower than IQR',), 0.9309613855900561)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.8928205605736103)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.886935105103385)"
"('Misd Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR', 'Nonmajor Lower than IQR'), 0.8242451303231568)"
"('Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR', 'Misd Lower than IQR'), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR',), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Major Within Lower IQR',), 0.8106056640318274)"
"('102', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 1.0)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 0.9492666264818164)"
"('Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 0.8831452381684554)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential')","(('Major Within Higher IQR', 'Residential Building/House'), 0.9980647431386348)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'Residential Building/House'), 0.864103893858853)"
"('Misd Within Lower IQR', 'Noise - Residential', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Residential Building/House'), 0.8032605837496714)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'Poverty Level Lower than Median'), 0.7370361893135984)"
